"","TotalAsIs2014","SES","Holt_Linear","Holt_Exponential","Damped","DampedExpo","HW_Add","HW_Mul"
"1",4308161,4466447.538797,4536366.98805273,4488280.56239744,4483618.46269215,4470648.46564727,4141203.83626674,4226940.795508
"2",4155378,4466447.538797,4581298.31307001,4502175.28318834,4493913.75457549,4473163.74302215,4147309.09876204,4123664.88775096
"3",3924332,4466447.538797,4626229.63808729,4516113.01895194,4504003.14062044,4475629.76236733,4318537.18561852,4350807.90843268
"4",3659121,4466447.538797,4671160.96310457,4530093.90285305,4513890.73894377,4478047.46123162,3642743.92652015,3494207.99033796
"5",3898758,4466447.538797,4716092.28812185,4544118.06846874,4523580.58529994,4480417.76040029,3704864.95733101,3484738.30279579
"6",3313891,4466447.538797,4761023.61313913,4558185.64978957,4533076.6347283,4482741.56415097,3488859.44878702,3162774.16024808
"7",3595106,4466447.538797,4805954.93815641,4572296.78122096,4542382.76316742,4485019.7605075,3336738.05826662,2912399.08840725
"8",3502426,4466447.538797,4850886.26317369,4586451.59758437,4551502.76903711,4487253.22149168,3750477.9941234,3521645.27944301
"9",5619059,4466447.538797,4895817.58819097,4600650.23411867,4560440.37478875,4489442.80337276,5137770.78521676,5540987.67229381
"10",5274287,4466447.538797,4940748.91320825,4614892.82648137,4569199.22842474,4491589.34691476,4772337.20899109,5020487.10501494
"11",4841693,4466447.538797,4985680.23822553,4629179.51074998,4577782.90498738,4493693.67762144,4988809.19194604,5299729.11954379
"12",4664854,4466447.538797,5030611.56324281,4643510.42342325,4586194.90801817,4495756.60597892,4629097.36548709,4740168.61434715
